,Felhasznalo,Valasz
578,hullámzó érzéseket érzek a fejemben.,migrén
579,hullámzó érzéseket érzek a fejemben.,migrén
580,Migrénem van.,migrén
581,Migrénem van.,migrén
582,Migrénem van.,migrén
583,Migrénem van.,migrén
584,Migrénem van.,migrén
585,Migrénem van.,migrén
586,Migrénben szenvedek.,migrén
587,Migrénben szenvedek.,migrén
588,Migrénben szenvedek.,migrén
589,Migrénben szenvedek.,migrén
590,Migrénben szenvedek.,migrén
591,Migrénben szenvedek.,migrén
592,az utóbbi időben migrénben szenvedek.,migrén
593,az utóbbi időben migrénben szenvedek.,migrén
594,az utóbbi időben migrénben szenvedek.,migrén
595,az utóbbi időben migrénben szenvedek.,migrén
596,az utóbbi időben migrénben szenvedek.,migrén
597,az utóbbi időben migrénben szenvedek.,migrén
598,kellemetlen migrén,migrén
599,kellemetlen migrén,migrén
600,kellemetlen migrén,migrén
601,kellemetlen migrén,migrén
602,kellemetlen migrén,migrén
603,kellemetlen migrén,migrén
604,"ízületi fájdalom, érzékenység és merevség",artritisz
605,"ízületi fájdalom, érzékenység és merevség",artritisz
606,"ízületi fájdalom, érzékenység és merevség",artritisz
607,"ízületi fájdalom, érzékenység és merevség",artritisz
608,gyulladás az ízületekben és azok körül,artritisz
609,gyulladás az ízületekben és azok körül,artritisz
610,gyulladás az ízületekben és azok körül,artritisz
611,gyulladás az ízületekben és azok körül,artritisz
612,az ízületek korlátozott mozgása,artritisz
613,az ízületek korlátozott mozgása,artritisz
614,az ízületek korlátozott mozgása,artritisz
615,az ízületek korlátozott mozgása,artritisz
616,"meleg, vörös bőr az érintett ízület felett",artritisz
617,"meleg, vörös bőr az érintett ízület felett",artritisz
618,"meleg, vörös bőr az érintett ízület felett",artritisz
619,"meleg, vörös bőr az érintett ízület felett",artritisz
620,gyengeség és izomsorvadás,artritisz
621,gyengeség és izomsorvadás,artritisz
622,gyengeség és izomsorvadás,artritisz
623,gyengeség és izomsorvadás,artritisz
624,Ízületi gyulladásom van,artritisz
625,Ízületi gyulladásom van,artritisz
626,Ízületi gyulladásom van,artritisz
627,Ízületi gyulladásom van,artritisz
628,A kezem fáj és merevvé válik.,artritisz
629,A kezem fáj és merevvé válik.,artritisz
630,A kezem fáj és merevvé válik.,artritisz
631,A kezem fáj és merevvé válik.,artritisz
632,A térdeim fájnak és merevvé válnak.,artritisz
633,A térdeim fájnak és merevvé válnak.,artritisz
634,A térdeim fájnak és merevvé válnak.,artritisz
635,A térdeim fájnak és merevvé válnak.,artritisz
636,A gerincem fáj és merevvé válik.,artritisz
637,A gerincem fáj és merevvé válik.,artritisz
638,A gerincem fáj és merevvé válik.,artritisz
639,A gerincem fáj és merevvé válik.,artritisz
640,Fájnak és merevvé válnak a csontjaim.,artritisz
641,Fájnak és merevvé válnak a csontjaim.,artritisz
642,Fájnak és merevvé válnak a csontjaim.,artritisz
643,Fájnak és merevvé válnak a csontjaim.,artritisz
644,Gyulladás van a kezemben és a kezem körül.,artritisz
645,Gyulladás van a kezemben és a kezem körül.,artritisz
646,Gyulladás van a kezemben és a kezem körül.,artritisz
647,Gyulladás van a kezemben és a kezem körül.,artritisz
648,Gyulladás van a térdemben és a térdem körül.,artritisz
649,Gyulladás van a térdemben és a térdem körül.,artritisz
650,Gyulladás van a térdemben és a térdem körül.,artritisz
651,Gyulladás van a térdemben és a térdem körül.,artritisz
652,Gyulladás van a gerincemben és a gerincem körül.,artritisz
653,Gyulladás van a gerincemben és a gerincem körül.,artritisz
654,Gyulladás van a gerincemben és a gerincem körül.,artritisz
655,Gyulladás van a gerincemben és a gerincem körül.,artritisz
656,"Melegséget érzek, és a kezemen vörös és duzzadt a bőröm.",artritisz
657,"Melegséget érzek, és a kezemen vörös és duzzadt a bőröm.",artritisz
658,"Melegséget érzek, és a kezemen vörös és duzzadt a bőröm.",artritisz
659,"Melegséget érzek, és a kezemen vörös és duzzadt a bőröm.",artritisz
660,"Melegséget érzek, és vörös és duzzadt a bőr a gerincem felett.",artritisz
661,"Melegséget érzek, és vörös és duzzadt a bőr a gerincem felett.",artritisz
662,"Melegséget érzek, és vörös és duzzadt a bőr a gerincem felett.",artritisz
663,"Melegséget érzek, és vörös és duzzadt a bőr a gerincem felett.",artritisz
664,"Melegséget érzek, és a térdem fölött vörös és duzzadt a bőröm.",artritisz
665,"Melegséget érzek, és a térdem fölött vörös és duzzadt a bőröm.",artritisz
666,"Melegséget érzek, és a térdem fölött vörös és duzzadt a bőröm.",artritisz
667,"Melegséget érzek, és a térdem fölött vörös és duzzadt a bőröm.",artritisz
668,Gyengeségem és izomsorvadásom van.,artritisz
669,Gyengeségem és izomsorvadásom van.,artritisz
670,Gyengeségem és izomsorvadásom van.,artritisz
671,Gyengeségem és izomsorvadásom van.,artritisz
672,"Azt hiszem, ízületi gyulladásom van.",artritisz
673,"Azt hiszem, ízületi gyulladásom van.",artritisz
674,"Azt hiszem, ízületi gyulladásom van.",artritisz
675,"Azt hiszem, ízületi gyulladásom van.",artritisz
676,artritiszen megyek keresztül,artritisz
677,artritiszen megyek keresztül,artritisz
678,artritiszen megyek keresztül,artritisz
679,artritiszen megyek keresztül,artritisz
680,az ízületi gyulladás kellemetlen fájdalma,artritisz
681,az ízületi gyulladás kellemetlen fájdalma,artritisz
682,az ízületi gyulladás kellemetlen fájdalma,artritisz
683,az ízületi gyulladás kellemetlen fájdalma,artritisz
684,Ízületi gyulladásban szenvedek,artritisz
685,Ízületi gyulladásban szenvedek,artritisz
686,Ízületi gyulladásban szenvedek,artritisz
687,Ízületi gyulladásban szenvedek,artritisz
688,nemrégiben ízületi gyulladással küszködtem,artritisz
689,nemrégiben ízületi gyulladással küszködtem,artritisz
690,nemrégiben ízületi gyulladással küszködtem,artritisz
691,nemrégiben ízületi gyulladással küszködtem,artritisz
692,alsó hasi fájdalom az időszak alatt,menstruáció
693,alsó hasi fájdalom az időszak alatt,menstruáció
694,alsó hasi fájdalom az időszak alatt,menstruáció
695,alsó hasi fájdalom az időszak alatt,menstruáció
696,alsó hasi fájdalom az időszak alatt,menstruáció
697,alsó hasi fájdalom az időszak alatt,menstruáció
698,alsó hasi fájdalom a menstruáció után,menstruáció
699,alsó hasi fájdalom a menstruáció után,menstruáció
700,alsó hasi fájdalom a menstruáció után,menstruáció
701,alsó hasi fájdalom a menstruáció után,menstruáció
702,alsó hasi fájdalom a menstruáció után,menstruáció
703,alsó hasi fájdalom a menstruáció után,menstruáció
704,alsó hasi fájdalom a menstruáció előtt,menstruáció
705,alsó hasi fájdalom a menstruáció előtt,menstruáció
706,alsó hasi fájdalom a menstruáció előtt,menstruáció
707,alsó hasi fájdalom a menstruáció előtt,menstruáció
708,alsó hasi fájdalom a menstruáció előtt,menstruáció
709,alsó hasi fájdalom a menstruáció előtt,menstruáció
710,hasi fájdalom a menstruáció alatt,menstruáció
711,hasi fájdalom a menstruáció alatt,menstruáció
712,hasi fájdalom a menstruáció alatt,menstruáció
713,hasi fájdalom a menstruáció alatt,menstruáció
714,hasi fájdalom a menstruáció alatt,menstruáció
715,hasi fájdalom a menstruáció alatt,menstruáció
716,menstruációs görcsök,menstruáció
717,menstruációs görcsök,menstruáció
718,menstruációs görcsök,menstruáció
719,menstruációs görcsök,menstruáció
720,menstruációs görcsök,menstruáció
721,menstruációs görcsök,menstruáció
722,görcsök a menstruáció alatt,menstruáció
723,görcsök a menstruáció alatt,menstruáció
724,görcsök a menstruáció alatt,menstruáció
725,görcsök a menstruáció alatt,menstruáció
726,görcsök a menstruáció alatt,menstruáció
727,görcsök a menstruáció alatt,menstruáció
728,görcsök a menstruáció után,menstruáció
729,görcsök a menstruáció után,menstruáció
730,görcsök a menstruáció után,menstruáció
731,görcsök a menstruáció után,menstruáció
732,görcsök a menstruáció előtt,menstruáció
733,görcsök a menstruáció előtt,menstruáció
734,görcsök a menstruáció előtt,menstruáció
735,görcsök a menstruáció előtt,menstruáció
736,görcsök a menstruáció előtt,menstruáció
737,görcsök a menstruáció előtt,menstruáció
738,menstruációs görcsök a menstruáció alatt,menstruáció
739,menstruációs görcsök a menstruáció alatt,menstruáció
740,menstruációs görcsök a menstruáció alatt,menstruáció
741,menstruációs görcsök a menstruáció alatt,menstruáció
742,menstruációs görcsök a menstruáció alatt,menstruáció
743,menstruációs görcsök a menstruáció alatt,menstruáció
744,menstruációs görcsök menstruáció után,menstruáció
745,menstruációs görcsök menstruáció után,menstruáció
746,menstruációs görcsök menstruáció után,menstruáció
747,menstruációs görcsök menstruáció után,menstruáció
748,menstruációs görcsök menstruáció után,menstruáció
749,menstruációs görcsök menstruáció után,menstruáció
750,menstruációs görcsök menstruáció előtt,menstruáció
751,menstruációs görcsök menstruáció előtt,menstruáció
752,menstruációs görcsök menstruáció előtt,menstruáció
753,menstruációs görcsök menstruáció előtt,menstruáció
754,menstruációs görcsök menstruáció előtt,menstruáció
755,menstruációs görcsök menstruáció előtt,menstruáció
756,hasi görcsök,menstruáció
757,hasi görcsök,menstruáció
758,hasi görcsök,menstruáció
759,hasi görcsök,menstruáció
760,hasi görcsök,menstruáció
761,hasi görcsök,menstruáció
762,alhasi fájdalom a menstruáció alatt,menstruáció
763,alhasi fájdalom a menstruáció alatt,menstruáció
764,alhasi fájdalom a menstruáció alatt,menstruáció
765,alhasi fájdalom a menstruáció alatt,menstruáció
766,alhasi fájdalom a menstruáció alatt,menstruáció
767,alhasi fájdalom a menstruáció alatt,menstruáció
768,alhasi fájdalom a menstruáció után,menstruáció
769,alhasi fájdalom a menstruáció után,menstruáció
770,alhasi fájdalom a menstruáció után,menstruáció
771,alhasi fájdalom a menstruáció után,menstruáció
772,alhasi fájdalom a menstruáció után,menstruáció
773,alhasi fájdalom a menstruáció után,menstruáció
774,alhasi fájdalom a menstruáció előtt,menstruáció
775,alhasi fájdalom a menstruáció előtt,menstruáció
776,alhasi fájdalom a menstruáció előtt,menstruáció
777,alhasi fájdalom a menstruáció előtt,menstruáció
778,alhasi fájdalom a menstruáció előtt,menstruáció
779,alhasi fájdalom a menstruáció előtt,menstruáció
780,hasi fájdalom a menstruáció alatt,menstruáció
781,hasi fájdalom a menstruáció alatt,menstruáció
782,hasi fájdalom a menstruáció alatt,menstruáció
783,hasi fájdalom a menstruáció alatt,menstruáció
784,hasi fájdalom a menstruáció alatt,menstruáció
785,hasi fájdalom a menstruáció alatt,menstruáció
786,D-vitaminhiányban szenved,d-vitamin
787,D-vitaminhiányban szenved,d-vitamin
788,D-vitaminhiányban szenved,d-vitamin
789,D-vitaminhiányban szenved,d-vitamin
790,D-vitaminhiányban szenved,d-vitamin
791,D-vitaminhiányban szenved,d-vitamin
792,d-vitamin hiány,d-vitamin
793,d-vitamin hiány,d-vitamin
794,d-vitamin hiány,d-vitamin
795,d-vitamin hiány,d-vitamin
796,d-vitamin hiány,d-vitamin
797,d-vitamin hiány,d-vitamin
798,alacsony d-vitamin,d-vitamin
799,alacsony d-vitamin,d-vitamin
800,alacsony d-vitamin,d-vitamin
801,alacsony d-vitamin,d-vitamin
802,alacsony d-vitamin,d-vitamin
803,alacsony d-vitamin,d-vitamin
804,alacsony d-vitamin szint,d-vitamin
805,alacsony d-vitamin szint,d-vitamin
806,alacsony d-vitamin szint,d-vitamin
807,alacsony d-vitamin szint,d-vitamin
808,alacsony d-vitamin szint,d-vitamin
809,alacsony d-vitamin szint,d-vitamin
810,D-vitamin-hiányban szenvedek,d-vitamin
811,D-vitamin-hiányban szenvedek,d-vitamin
812,D-vitamin-hiányban szenvedek,d-vitamin
813,D-vitamin-hiányban szenvedek,d-vitamin
814,D-vitamin-hiányban szenvedek,d-vitamin
815,D-vitamin-hiányban szenvedek,d-vitamin
816,Angolkórban szenvedek,angolkór
817,Angolkórban szenvedek,angolkór
818,Angolkórban szenvedek,angolkór
819,Angolkórban szenvedek,angolkór
820,Angolkór,angolkór
821,Angolkór,angolkór
822,Angolkór,angolkór
823,Angolkór,angolkór
824,angolkórban szenvedek,angolkór
825,angolkórban szenvedek,angolkór
826,angolkórban szenvedek,angolkór
827,angolkórban szenvedek,angolkór
828,a csontjaim gyengék,angolkór
829,a csontjaim gyengék,angolkór
830,a csontjaim gyengék,angolkór
831,a csontjaim gyengék,angolkór
832,a csontjaim gyengék,angolkór
833,a csontjaim gyengék,angolkór
834,a csontok gyengék a d-vitamin hiánya miatt,angolkór
835,a csontok gyengék a d-vitamin hiánya miatt,angolkór
836,a csontok gyengék a d-vitamin hiánya miatt,angolkór
837,a csontok gyengék a d-vitamin hiánya miatt,angolkór
838,a csontok gyengék a d-vitamin hiánya miatt,angolkór
839,a csontok gyengék a d-vitamin hiánya miatt,angolkór
840,a csontok gyengék a d-vitamin hiány miatt,angolkór
841,a csontok gyengék a d-vitamin hiány miatt,angolkór
842,a csontok gyengék a d-vitamin hiány miatt,angolkór
843,a csontok gyengék a d-vitamin hiány miatt,angolkór
844,a csontok gyengék a d-vitamin hiány miatt,angolkór
845,a csontok gyengék a d-vitamin hiány miatt,angolkór
846,a csontok gyengék az angolkór miatt,angolkór
847,a csontok gyengék az angolkór miatt,angolkór
848,a csontok gyengék az angolkór miatt,angolkór
849,a csontok gyengék az angolkór miatt,angolkór
850,haeamoglobin szint alacsony,vérszegénység
851,haeamoglobin szint alacsony,vérszegénység
852,alacsony haeamoglobin szint,vérszegénység
853,alacsony haeamoglobin szint,vérszegénység
854,alacsony haeamoglobin,vérszegénység
855,alacsony haeamoglobin,vérszegénység
856,vérszegénységben szenved,vérszegénység
857,vérszegénységben szenved,vérszegénység
858,vérszegénységben szenved,vérszegénység
859,vérszegénységben szenved,vérszegénység
860,vérszegénységben szenvedek,vérszegénység
861,vérszegénységben szenvedek,vérszegénység
862,vérszegénységben szenvedek,vérszegénység
863,vérszegénységben szenvedek,vérszegénység
864,vérszegénység,vérszegénység
865,vérszegénység,vérszegénység
866,vérszegénység,vérszegénység
867,vérszegénység,vérszegénység
868,túl alacsony a hemoglobinszintem,vérszegénység
869,túl alacsony a hemoglobinszintem,vérszegénység
870,vérszegénységben szenvedek,vérszegénység
871,vérszegénységben szenvedek,vérszegénység
872,vérszegénységben szenvedek,vérszegénység
873,vérszegénységben szenvedek,vérszegénység
874,alacsonyabb hemoglobinszint,vérszegénység
875,alacsonyabb hemoglobinszint,vérszegénység
876,alacsony hemoglobinszint,vérszegénység
877,alacsony hemoglobinszint,vérszegénység
878,gyengének érzem magam,gyengeség
879,gyengének érzem magam,gyengeség
880,gyengének érzem magam,gyengeség
881,gyengének érzem magam,gyengeség
882,gyengének érzem magam,gyengeség
883,gyengének érzem magam,gyengeség
884,gyengeség,gyengeség
885,gyengeség,gyengeség
886,gyengeség,gyengeség
887,gyengeség,gyengeség
888,gyengeség,gyengeség
889,gyengeség,gyengeség
890,szédülés,gyengeség
891,szédülés,gyengeség
892,szédülés,gyengeség
893,szédülés,gyengeség
894,szédülés,gyengeség
895,szédülés,gyengeség
896,"Szédülök, gyengeségem van",gyengeség
897,"Szédülök, gyengeségem van",gyengeség
898,"Szédülök, gyengeségem van",gyengeség
899,"Szédülök, gyengeségem van",gyengeség
900,"Szédülök, gyengeségem van",gyengeség
901,"Szédülök, gyengeségem van",gyengeség
902,gyengeségem van,gyengeség
903,gyengeségem van,gyengeség
904,gyengeségem van,gyengeség
905,gyengeségem van,gyengeség
906,gyengeségem van,gyengeség
907,gyengeségem van,gyengeség
908,szédülést érzek,gyengeség
909,szédülést érzek,gyengeség
910,szédülést érzek,gyengeség
911,szédülést érzek,gyengeség
912,szédülést érzek,gyengeség
913,szédülést érzek,gyengeség
914,szédülök,gyengeség
915,szédülök,gyengeség
916,szédülök,gyengeség
917,szédülök,gyengeség
918,szédülök,gyengeség
919,szédülök,gyengeség
920,kimerültnek érzem magam,gyengeség
921,kimerültnek érzem magam,gyengeség
922,kimerültnek érzem magam,gyengeség
923,kimerültnek érzem magam,gyengeség
924,kimerültnek érzem magam,gyengeség
925,kimerültnek érzem magam,gyengeség
926,gyengeséget érzek,gyengeség
927,gyengeséget érzek,gyengeség
928,gyengeséget érzek,gyengeség
929,gyengeséget érzek,gyengeség
930,gyengeséget érzek,gyengeség
931,gyengeséget érzek,gyengeség
932,könnyezik a szemem,könnyezés
933,könnyezik a szemem,könnyezés
934,könnyezik a szemem,könnyezés
935,könnyezik a szemem,könnyezés
936,könnyezik a szemem,könnyezés
937,könnyezik a szemem,könnyezés
938,jobb szemem könnyezik,könnyezés
939,jobb szemem könnyezik,könnyezés
940,jobb szemem könnyezik,könnyezés
941,jobb szemem könnyezik,könnyezés
942,jobb szemem könnyezik,könnyezés
943,jobb szemem könnyezik,könnyezés
944,bal szemem könnyezik,könnyezés
945,bal szemem könnyezik,könnyezés
946,bal szemem könnyezik,könnyezés
947,bal szemem könnyezik,könnyezés
948,bal szemem könnyezik,könnyezés
949,bal szemem könnyezik,könnyezés
950,mindkét szemem könnyezik,könnyezés
951,mindkét szemem könnyezik,könnyezés
952,mindkét szemem könnyezik,könnyezés
953,mindkét szemem könnyezik,könnyezés
954,mindkét szemem könnyezik,könnyezés
955,mindkét szemem könnyezik,könnyezés
956,a szemek kiszáradnak,kiszáradás
957,a szemek kiszáradnak,kiszáradás
958,a szemek kiszáradnak,kiszáradás
959,a szemek kiszáradnak,kiszáradás
960,szem kiszárad,kiszáradás
961,szem kiszárad,kiszáradás
962,szem kiszárad,kiszáradás
963,szem kiszárad,kiszáradás
964,kiszárad a szemem,kiszáradás
965,kiszárad a szemem,kiszáradás
966,kiszárad a szemem,kiszáradás
967,kiszárad a szemem,kiszáradás
968,a jobb szem kiszárad,kiszáradás
969,a jobb szem kiszárad,kiszáradás
970,a jobb szem kiszárad,kiszáradás
971,a jobb szem kiszárad,kiszáradás
972,bal szem kiszárad,kiszáradás
973,bal szem kiszárad,kiszáradás
974,bal szem kiszárad,kiszáradás
975,bal szem kiszárad,kiszáradás
976,mindkét szemem szárad,kiszáradás
977,mindkét szemem szárad,kiszáradás
978,mindkét szemem szárad,kiszáradás
979,mindkét szemem szárad,kiszáradás
980,Szemproblémám van a hosszú képernyőidő miatt.,kiszáradás
981,Szemproblémám van a hosszú képernyőidő miatt.,kiszáradás
982,Szemproblémám van a hosszú képernyőidő miatt.,kiszáradás
983,Szemproblémám van a hosszú képernyőidő miatt.,kiszáradás
984,fájnak a füleim,fül fájás
985,fájnak a füleim,fül fájás
986,fájnak a füleim,fül fájás
987,fájnak a füleim,fül fájás
988,fájnak a füleim,fül fájás
989,fájnak a füleim,fül fájás
990,fáj a jobb fülem,fül fájás
991,fáj a jobb fülem,fül fájás
992,fáj a jobb fülem,fül fájás
993,fáj a jobb fülem,fül fájás
994,fáj a jobb fülem,fül fájás
995,fáj a jobb fülem,fül fájás
996,Fáj a bal fülem,fül fájás
997,Fáj a bal fülem,fül fájás
998,Fáj a bal fülem,fül fájás
999,Fáj a bal fülem,fül fájás
1000,Fáj a bal fülem,fül fájás
1001,Fáj a bal fülem,fül fájás
1002,a fülem nagyon fáj,fül fájás
1003,a fülem nagyon fáj,fül fájás
1004,a fülem nagyon fáj,fül fájás
1005,a fülem nagyon fáj,fül fájás
1006,a fülem nagyon fáj,fül fájás
1007,a fülem nagyon fáj,fül fájás
1008,fülfájás a hosszú ideig tartó fülhallgató használat miatt,fül fájás
1009,fülfájás a hosszú ideig tartó fülhallgató használat miatt,fül fájás
1010,fülfájás a hosszú ideig tartó fülhallgató használat miatt,fül fájás
1011,fülfájás a hosszú ideig tartó fülhallgató használat miatt,fül fájás
1012,fülfájás a hosszú ideig tartó fülhallgató használat miatt,fül fájás
1013,fülfájás a hosszú ideig tartó fülhallgató használat miatt,fül fájás
1014,fáj a fülem a fülhallgató használata miatt,fül fájás
1015,fáj a fülem a fülhallgató használata miatt,fül fájás
1016,fáj a fülem a fülhallgató használata miatt,fül fájás
1017,fáj a fülem a fülhallgató használata miatt,fül fájás
1018,fáj a fülem a fülhallgató használata miatt,fül fájás
1019,fáj a fülem a fülhallgató használata miatt,fül fájás
1020,fülzúgástól szenvedek,fülcsengés
1021,fülzúgástól szenvedek,fülcsengés
1022,fülzúgástól szenvedek,fülcsengés
1023,fülzúgástól szenvedek,fülcsengés
1024,a fülem folyamatosan cseng,fülcsengés
1025,a fülem folyamatosan cseng,fülcsengés
1026,a fülem folyamatosan cseng,fülcsengés
1027,a fülem folyamatosan cseng,fülcsengés
1028,a jobb fülem cseng,fülcsengés
1029,a jobb fülem cseng,fülcsengés
1030,a jobb fülem cseng,fülcsengés
1031,a jobb fülem cseng,fülcsengés
1032,bal fül cseng,fülcsengés
1033,bal fül cseng,fülcsengés
1034,bal fül cseng,fülcsengés
1035,bal fül cseng,fülcsengés
1036,fülcsengés a fülhallgató hosszú használata miatt,fülcsengés
1037,fülcsengés a fülhallgató hosszú használata miatt,fülcsengés
1038,fülcsengés a fülhallgató hosszú használata miatt,fülcsengés
1039,fülcsengés a fülhallgató hosszú használata miatt,fülcsengés
1040,fülfájdalom a hosszú ideig tartó fejhallgató használat miatt,fülcsengés
1041,fülfájdalom a hosszú ideig tartó fejhallgató használat miatt,fülcsengés
1042,fülfájdalom a hosszú ideig tartó fejhallgató használat miatt,fülcsengés
1043,fülfájdalom a hosszú ideig tartó fejhallgató használat miatt,fülcsengés
1044,fülfájdalom a hosszú ideig tartó fejhallgató használat miatt,fülcsengés
1045,fülfájdalom a hosszú ideig tartó fejhallgató használat miatt,fülcsengés
1046,fáj a fülem a fejhallgató használata miatt,fülcsengés
1047,fáj a fülem a fejhallgató használata miatt,fülcsengés
1048,fáj a fülem a fejhallgató használata miatt,fülcsengés
1049,fáj a fülem a fejhallgató használata miatt,fülcsengés
1050,fáj a fülem a fejhallgató használata miatt,fülcsengés
1051,fáj a fülem a fejhallgató használata miatt,fülcsengés
1052,fülcsengés a fejhallgató hosszú ideig tartó használata miatt,fülcsengés
1053,fülcsengés a fejhallgató hosszú ideig tartó használata miatt,fülcsengés
1054,fülcsengés a fejhallgató hosszú ideig tartó használata miatt,fülcsengés
1055,fülcsengés a fejhallgató hosszú ideig tartó használata miatt,fülcsengés
1056,fülfájás a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1057,fülfájás a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1058,fülfájás a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1059,fülfájás a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1060,fülfájás a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1061,fülfájás a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1062,A fülhallgató használata miatt fáj a fülem.,fülcsengés
1063,a fülhallgató használata miatt fáj a fülem.,fülcsengés
1064,Fülhallgató használata miatt fáj a fülem t,fülcsengés
1065,A fülhallgató használata miatt fáj a fülem,fülcsengés
1066,fülhallgató használata miatt fáj a fülem,fülcsengés
1067,a fülhallgató használata miatt fáj a fülem,fülcsengés
1068,fülcsengés a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1069,fülcsengés a fülhallgató hosszú ideig tartó használata miatt.,fülcsengés
1070,Fülcsengés a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1071,Fülcsengés, a fülhallgató hosszú ideig tartó használata miatt,fülcsengés
1072,szívproblémáim vannak,szívroham
1073,szívproblémáim vannak.,szívroham
1074,nyomás a mellkasban,szívroham
1075,Nyomás a mellkasban,szívroham
1076,nyomás a mellkasban.,szívroham
1077,szorító érzés a mellkasban,szívroham
1078,Szorító érzés a mellkasban,szívroham
1079,szorító érzés a mellkasban.,szívroham
1080,fájdalom a mellkasban ,szívroham
1081,szívroham mellkasban,szívroham
1082,Azt hiszem, fáj a bal karom mellkasban,szívroham
1083,azt hiszem, fáj a bal karom mellkasban,szívroham
1084,Azt hiszem, fáj a bal karom mellkasban.,szívroham
1085,szívrohamot érzek,szívroham
1086,szorítás a mellkasban,szívroham
1087,Szorítás a mellkasban,szívroham
1088,szorítás a mellkasban.,szívroham
1089,fájdalmas érzés a mellkasomban,szívroham
1090,Fájdalmas érzés a mellkasomban,szívroham
1091,fájdalmas érzés a mellkasomban.,szívroham
1092,nyomás a bal karomban,szívroham
1093,Nyomás a bal karomban,szívroham
1094,nyomás a bal karomban.,szívroham
1095,feszülés a bal karban,szívroham
1096,Feszülés a bal karomban,szívroham
1097,feszülés a bal karomban.,szívroham
1098,szorítás a karomban,szívroham
1099,Szorítás a karomban,szívroham
1100,szorítás a karomban.,szívroham
1101,fájdalmas érzés a karomban,szívroham
1102,Fájdalmas érzés a karomban,szívroham
1103,fájdalmas érzés a karomban.,szívroham
1104,mellkasnyomás,szívroham
1105,Mellkasi nyomás.,szívroham
1106,Mellkasi nyomás,szívroham
1107,mellkasi nyomás,szívroham
1108,mellkasi nyomás.,szívroham
1109,mellkasi szorítás,szívroham
1110,Mellkasi szorítás,szívroham
1111,mellkasi szorítás,szívroham
1112,Mellkasi fájdalom,szívroham
1113,mellkasi fájdalom,szívroham
1114,mellkasi fájdalom.,szívroham
1115,mellkasi fájdalom.,szívroham
1116,mellkasfájdalom,szívroham
1117,bal kar nyomása,szívroham
1118,bal karom nyomása,szívroham
1119,Bal karom nyomása,szívroham
1120,Bal kar nyomása,szívroham
1121,bal karom nyomása.,szívroham
1122,bal karom nyomása.,szívroham
